3.081e-05,3.62e-06,4.754e-05
5.725e-05,4.772e-05,0.00018151
1.312e-05,0.00017252,8.493e-05
1.669e-05,7.504e-05,8.22e-05
7.116e-05,6.248e-05,8.897e-05
5.034e-05,4.992e-05,9.39e-05
2.953e-05,3.736e-05,9.883e-05
8.71e-06,2.48e-05,0.00010376
2.047e-05,1.01e-05,9.743e-05
4.209e-05,4.556e-05,2.791e-05
3.732e-05,6.139e-05,3.233e-05
3.255e-05,3.707e-05,3.675e-05
2.778e-05,2.646e-05,4.118e-05
2.301e-05,1.585e-05,4.56e-05
1.824e-05,5.24e-06,5.003e-05
2.654e-05,4.28e-05,8.066e-05
1.831e-05,4.624e-05,8.888e-05
2.055e-05,9.406e-05,5.977e-05
1.111e-05,3.784e-05,7.851e-05
2.458e-05,7.86e-05,9.263e-05
3.806e-05,0.00011937,0.00010675
5.153e-05,0.00016013,0.00012087
9.91e-06,8.374e-05,7.322e-05
1.476e-05,9.05e-06,2.516e-05
1.182e-05,8.414e-05,8.047e-05
6.413e-05,2.374e-05,3.832e-05
5.957e-05,2.273e-05,4.329e-05
5.501e-05,2.172e-05,4.826e-05
5.044e-05,2.07e-05,5.324e-05
1.229e-05,2.338e-05,1.766e-05
1.385e-05,1.538e-05,2.853e-05
3.438e-05,3.792e-05,1.868e-05
3.085e-05,4.117e-05,2.129e-05
2.732e-05,4.441e-05,2.389e-05
2.378e-05,4.766e-05,2.65e-05
2.025e-05,5.086e-05,2.91e-05
1.671e-05,6.04e-05,3.17e-05
3.669e-05,4.508e-05,3.28e-05
5.379e-05,2.213e-05,5.521e-05
5.041e-05,3.243e-05,5.282e-05
4.703e-05,4.273e-05,5.043e-05
4.365e-05,5.303e-05,4.804e-05
2.354e-05,7.138e-05,2.418e-05
5.035e-05,7.16e-05,2.432e-05
0.00018245,1.782e-05,7.826e-05
1.969e-05,1.557e-05,2.897e-05
3.938e-05,1.644e-05,2.643e-05
5.907e-05,1.73e-05,2.389e-05
2.659e-05,2.341e-05,2.729e-05
0.0001539,1.586e-05,3.679e-05
4.075e-05,1.368e-05,2.792e-05
5.66e-06,9.3e-06,5.026e-05
2.17e-05,1.011e-05,4.615e-05
3.773e-05,1.091e-05,4.203e-05
5.377e-05,1.172e-05,3.791e-05
4.203e-05,1.095e-05,5.071e-05
1.577e-05,9.7e-06,2.895e-05
2.497e-05,1.55e-05,2.665e-05
2.266e-05,3.492e-05,1.739e-05
2.589e-05,5.517e-05,1.51e-05
2.912e-05,7.542e-05,1.28e-05
3.235e-05,9.567e-05,1.05e-05
